Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Black Gram,Laterite,5.5,12,1824,Organic Compost,Mealybug - Buprofezin
Basil,Clayey Loam,7.2,31,630,Farmyard Manure,Mealybug - Buprofezin
Guava,Sandy Loam,7.3,33,1014,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Cabbage,Sandy Loam,6.3,31,1481,Potassium Nitrate,Leaf Spot - Chlorothalonil
Rice,Sandy Loam,6,29,2343,NPK Fertilizer,Bollworm - Cypermethrin
Cauliflower,Mountain,7,22,2424,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Cauliflower,Clayey,7.4,34,1911,Phosphate Fertilizer,Panama Wilt - Thiophanate
Coffee,Red,6.9,24,433,DAP,Blast - Tricyclazole
Cashew,Loamy,6.4,22,1063,Calcium Ammonium Nitrate,Rust - Propiconazole
Mustard,Black,5.5,24,1795,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Potato,Laterite,5.7,18,617,Urea,Aphids - Imidacloprid
Cabbage,Sandy,7,25,2095,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Blueberry,Clayey Loam,7.2,30,2403,Farmyard Manure,Panama Wilt - Thiophanate
Black Gram,Clayey Loam,5.6,29,1645,Urea,Blast - Tricyclazole
Neem,Laterite,7.3,17,1881,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Lentils,Mountain,6.4,29,620,Potash Fertilizer,Thrips - Spinosad
Eucalyptus,Clayey Loam,5.8,32,1890,Urea,Leaf Spot - Chlorothalonil
Black Gram,Clayey Loam,5.9,17,2118,Sulfur Fertilizer,Bollworm - Cypermethrin
Carrot,Red,6.1,30,1753,Farmyard Manure,Anthracnose - Carbendazim
Coffee,Loamy,6.9,23,1932,NPK Fertilizer,Coffee Rust - Propiconazole
Cauliflower,Sandy Loam,7.1,24,1946,DAP,Red Rot - Carbendazim
Jute,Sandy,7.1,33,1649,Calcium Ammonium Nitrate,Thrips - Spinosad
Eucalyptus,Sandy Loam,7.1,20,1435,Urea,Powdery Mildew - Sulfur
Radish,Sandy,5.6,26,1685,Farmyard Manure,Panama Wilt - Thiophanate
Cashew,Black,6.2,28,1622,Urea,Mealybug - Buprofezin
Sunflower,Clayey Loam,7.2,16,2027,NPK Fertilizer,Leaf Curl - Imidacloprid
Peas,Red,6.1,31,775,Phosphate Fertilizer,Aphids - Imidacloprid
Mango,Sandy,5.7,33,851,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Pear,Red,6.5,17,1893,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Guava,Laterite,7.1,30,1216,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Soybean,Clayey Loam,6.6,32,656,NPK Fertilizer,Panama Wilt - Thiophanate
Lentils,Clayey,5.8,11,366,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Jackfruit,Sandy,7.4,20,2346,NPK Fertilizer,Rust - Propiconazole
Coconut,Black,6.8,29,682,Sulfur Fertilizer,Rust - Propiconazole
Okra,Laterite,7.5,27,1858,Potash Fertilizer,Powdery Mildew - Sulfur
Basil,Black,7,19,2445,Phosphate Fertilizer,Red Rot - Carbendazim
Soybean,Clayey,5.8,31,485,NPK Fertilizer,Blister Blight - Copper Oxychloride
Banana,Black,6,12,858,NPK Fertilizer,Aphids - Imidacloprid
Cashew,Clayey,6.4,18,1581,NPK Fertilizer,Stem Borer - Carbaryl
Tea,Red,6.4,28,1754,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Pumpkin,Laterite,6.4,21,2339,Sulfur Fertilizer,Blast - Tricyclazole
Maize,Clayey,5.9,10,1560,Urea,Bollworm - Cypermethrin
Watermelon,Red,5.5,21,399,DAP,Blast - Tricyclazole
Cashew,Clayey Loam,7.4,22,2327,Potassium Nitrate,Coffee Rust - Propiconazole
Tea,Alluvial,5.8,22,367,Urea,Mealybug - Buprofezin
Strawberry,Red,5.7,35,300,DAP,Aphids - Imidacloprid
Papaya,Mountain,6,12,434,DAP,Rust - Propiconazole
Banana,Sandy,6.3,17,2189,Potash Fertilizer,Coffee Rust - Propiconazole
Brinjal,Clayey Loam,7.2,13,1769,Potash Fertilizer,Leaf Spot - Chlorothalonil
Jackfruit,Clayey,6.1,21,2206,DAP,Bud Rot - Copper Oxychloride
Okra,Sandy,6.7,19,1829,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Spinach,Sandy,7.1,21,2477,NPK Fertilizer,Rust - Mancozeb
Pumpkin,Clayey,7.2,17,790,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Papaya,Clayey,6.1,28,388,Potash Fertilizer,Scab - Captan
Lentils,Alluvial,5.6,28,1484,Phosphate Fertilizer,Late Blight - Mancozeb
Turmeric,Loamy,6,32,1370,Farmyard Manure,Stem Borer - Carbaryl
Pineapple,Black,6.2,32,2485,Sulfur Fertilizer,Late Blight - Mancozeb
Pear,Black,5.9,25,551,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Guava,Laterite,5.8,13,2101,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Cashew,Sandy Loam,5.7,34,1185,NPK Fertilizer,Aphids - Imidacloprid
Lentils,Sandy Loam,7.1,21,539,DAP,Rust - Propiconazole
Onion,Clayey,5.8,10,1298,NPK Fertilizer,Blister Blight - Copper Oxychloride
Strawberry,Black,7.2,35,420,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Guava,Sandy Loam,7.2,28,2474,Urea,Coffee Rust - Propiconazole
Jackfruit,Sandy,6.8,22,2215,NPK Fertilizer,Stem Borer - Carbaryl
Cabbage,Mountain,7.4,34,467,NPK Fertilizer,Blister Blight - Copper Oxychloride
Brinjal,Alluvial,6,15,2071,Potassium Nitrate,Late Blight - Mancozeb
Pumpkin,Mountain,6.6,23,479,Sulfur Fertilizer,Powdery Mildew - Sulfur
Jackfruit,Clayey Loam,6.2,16,1475,Phosphate Fertilizer,Rust - Propiconazole
Blueberry,Sandy Loam,6.7,19,2135,Organic Compost,Scab - Captan
Cabbage,Alluvial,6.2,30,1803,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Cabbage,Sandy,6.9,17,1753,Phosphate Fertilizer,Late Blight - Mancozeb
Papaya,Black,6.9,25,1676,Urea,Rust - Mancozeb
Black Gram,Clayey,6.6,33,1714,DAP,Leaf Curl - Imidacloprid
Carrot,Sandy Loam,7.3,29,2474,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Cabbage,Mountain,6.3,22,1962,Organic Compost,Anthracnose - Carbendazim
Strawberry,Clayey Loam,7.3,11,1072,Potash Fertilizer,Powdery Mildew - Sulfur
Eucalyptus,Alluvial,7.3,31,2440,Potassium Nitrate,Mealybug - Buprofezin
Green Gram,Clayey,6.2,34,418,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Sugarcane,Alluvial,6.9,12,987,DAP,Powdery Mildew - Sulfur
Peas,Sandy Loam,5.5,24,1501,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Apple,Laterite,6.9,11,1619,Potash Fertilizer,Anthracnose - Carbendazim
Apple,Red,6,13,1906,Urea,Rust - Propiconazole
Banana,Clayey Loam,6.8,10,2480,DAP,Panama Wilt - Thiophanate
Radish,Clayey Loam,6.2,18,1441,Organic Compost,Rust - Propiconazole
Groundnut,Sandy Loam,6.2,28,977,DAP,Leaf Curl - Imidacloprid
Cashew,Sandy Loam,5.9,34,1451,Potash Fertilizer,Coffee Rust - Propiconazole
Pear,Loamy,6.6,29,897,Sulfur Fertilizer,Scab - Captan
Okra,Alluvial,6.4,26,2000,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Guava,Mountain,6.6,28,2456,Farmyard Manure,Thrips - Spinosad
Neem,Black,6.4,18,1809,Phosphate Fertilizer,Thrips - Spinosad
Apple,Clayey Loam,6,33,2316,Potash Fertilizer,Aphids - Imidacloprid
Mango,Black,6.3,28,497,Farmyard Manure,Coffee Rust - Propiconazole
Jackfruit,Black,6.4,26,2138,Farmyard Manure,Blister Blight - Copper Oxychloride
Rice,Black,7,22,1204,Potassium Nitrate,Mealybug - Buprofezin
Wheat,Clayey Loam,6.8,30,2074,DAP,Late Blight - Mancozeb
Tea,Mountain,6.3,33,1563,Potash Fertilizer,Mealybug - Buprofezin
Lentils,Sandy Loam,5.6,24,1907,Farmyard Manure,Rust - Propiconazole
Aloe Vera,Alluvial,6.3,28,526,Organic Compost,Red Rot - Carbendazim
Guava,Alluvial,7.4,35,2309,NPK Fertilizer,Panama Wilt - Thiophanate
Turmeric,Red,7.1,29,1319,Potassium Nitrate,Bollworm - Cypermethrin
Strawberry,Clayey Loam,6.6,33,2079,Potash Fertilizer,Panama Wilt - Thiophanate
Eucalyptus,Laterite,7,16,386,Potassium Nitrate,Scab - Captan
Apple,Mountain,7.4,20,2072,Sulfur Fertilizer,Coffee Rust - Propiconazole
Rice,Sandy,7.2,30,1255,Sulfur Fertilizer,Powdery Mildew - Sulfur
Guava,Clayey Loam,6,19,2414,Potassium Nitrate,Mealybug - Buprofezin
Pomegranate,Sandy,5.7,30,1202,Potassium Nitrate,Bollworm - Cypermethrin
Green Gram,Sandy,5.9,26,398,Organic Compost,Coffee Rust - Propiconazole
Jute,Clayey Loam,6.8,25,1055,Potassium Nitrate,Mealybug - Buprofezin
Coffee,Black,6,19,605,Farmyard Manure,Stem Borer - Carbaryl
Mustard,Loamy,7.4,31,1357,Phosphate Fertilizer,Blast - Tricyclazole
Peas,Red,6.6,34,1831,Calcium Ammonium Nitrate,Rust - Mancozeb
Apple,Laterite,6.6,11,1138,Sulfur Fertilizer,Scab - Captan
Pear,Red,5.9,10,2431,Organic Compost,Anthracnose - Carbendazim
Peach,Sandy,7.4,12,448,Sulfur Fertilizer,Aphids - Imidacloprid
Okra,Red,6.8,13,633,Organic Compost,Mealybug - Buprofezin
Banana,Mountain,5.9,19,2400,NPK Fertilizer,Scab - Captan
Neem,Clayey,7.5,31,1434,Phosphate Fertilizer,Aphids - Imidacloprid
Blueberry,Sandy,6.8,15,1117,DAP,Leaf Spot - Chlorothalonil
Guava,Clayey Loam,7.3,31,1240,Phosphate Fertilizer,Late Blight - Mancozeb
Banana,Sandy,5.8,14,1778,NPK Fertilizer,Powdery Mildew - Sulfur
Groundnut,Loamy,7.2,29,953,Potash Fertilizer,Red Rot - Carbendazim
Mustard,Laterite,7.2,20,1840,Potash Fertilizer,Panama Wilt - Thiophanate
Pomegranate,Alluvial,7,15,2116,Potassium Nitrate,Rust - Propiconazole
Cauliflower,Mountain,7.1,17,2151,Urea,Stem Borer - Carbaryl
Pumpkin,Clayey,6.1,13,1108,NPK Fertilizer,Blast - Tricyclazole
Maize,Mountain,6.4,24,2426,Phosphate Fertilizer,Anthracnose - Carbendazim
Strawberry,Mountain,6.5,35,2025,DAP,Aphids - Imidacloprid
Sugarcane,Sandy,6.1,34,1435,Potassium Nitrate,Blast - Tricyclazole
Soybean,Sandy Loam,7,15,2457,Sulfur Fertilizer,Anthracnose - Carbendazim
Coconut,Clayey Loam,6.8,13,1156,Potassium Nitrate,Blast - Tricyclazole
Bamboo,Sandy Loam,6.8,24,1305,Farmyard Manure,Coffee Rust - Propiconazole
Mahogany,Clayey,6.5,25,611,NPK Fertilizer,Leaf Spot - Chlorothalonil
Chili,Clayey Loam,6.8,15,1933,Calcium Ammonium Nitrate,Rust - Mancozeb
Cotton,Sandy,7,32,1104,Organic Compost,Aphids - Imidacloprid
Strawberry,Loamy,6.6,24,1730,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Spinach,Sandy Loam,6.2,23,1226,Calcium Ammonium Nitrate,Scab - Captan
Apple,Red,6.8,30,2494,Phosphate Fertilizer,Blast - Tricyclazole
Radish,Clayey Loam,6.9,20,476,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Peas,Sandy,6.3,23,874,Calcium Ammonium Nitrate,Scab - Captan
Mustard,Black,7.1,23,699,Urea,Leaf Spot - Chlorothalonil
Cashew,Sandy,7.2,22,986,Farmyard Manure,Panama Wilt - Thiophanate
Okra,Clayey,7.1,20,1582,Urea,Leaf Spot - Chlorothalonil
Jute,Mountain,6.2,32,747,NPK Fertilizer,Bollworm - Cypermethrin
Soybean,Alluvial,6.3,16,494,Potassium Nitrate,Mealybug - Buprofezin
Onion,Alluvial,6.6,17,906,Urea,Stem Borer - Carbaryl
Eucalyptus,Black,5.7,33,420,Calcium Ammonium Nitrate,Thrips - Spinosad
Sugarcane,Laterite,6.2,32,1311,NPK Fertilizer,Leaf Spot - Chlorothalonil
Cauliflower,Alluvial,5.7,35,1744,DAP,Bollworm - Cypermethrin
Mustard,Clayey Loam,6.5,31,589,Organic Compost,Coffee Rust - Propiconazole
Okra,Sandy,6.9,15,1155,NPK Fertilizer,Late Blight - Mancozeb
Turmeric,Mountain,7,27,1441,Organic Compost,Leaf Curl - Imidacloprid
Soybean,Sandy,6.7,13,2102,Calcium Ammonium Nitrate,Scab - Captan
Cotton,Mountain,7.1,19,1750,Potassium Nitrate,Red Rot - Carbendazim
Pomegranate,Loamy,5.7,10,595,Urea,Rust - Propiconazole
Pumpkin,Black,7.2,33,1861,DAP,Rust - Mancozeb
Okra,Clayey,5.6,17,764,NPK Fertilizer,Red Rot - Carbendazim
Coconut,Mountain,7.3,33,2014,Urea,Scab - Captan
Radish,Sandy,7.2,34,1615,Urea,Powdery Mildew - Sulfur
Mango,Sandy,7.2,13,663,DAP,Thrips - Spinosad
Jackfruit,Laterite,6.7,13,1682,NPK Fertilizer,Leaf Curl - Imidacloprid
Cotton,Laterite,5.5,15,1353,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Groundnut,Sandy Loam,7.4,32,2271,Urea,Bud Rot - Copper Oxychloride
Eucalyptus,Loamy,5.6,21,306,Potash Fertilizer,Bud Rot - Copper Oxychloride
Mahogany,Sandy,5.5,19,498,Sulfur Fertilizer,Late Blight - Mancozeb
Pumpkin,Sandy,6.8,28,562,Organic Compost,Bud Rot - Copper Oxychloride
Cotton,Alluvial,6.2,34,416,Potassium Nitrate,Bud Rot - Copper Oxychloride
Maize,Mountain,6.1,11,1740,DAP,Aphids - Imidacloprid
Coconut,Alluvial,6.6,24,1143,Calcium Ammonium Nitrate,Rust - Propiconazole
Strawberry,Clayey Loam,6.9,15,863,Potassium Nitrate,Coffee Rust - Propiconazole
Eucalyptus,Laterite,6.8,14,2055,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Sunflower,Clayey Loam,6.3,34,1578,Farmyard Manure,Mealybug - Buprofezin
Aloe Vera,Red,6.6,33,306,Potassium Nitrate,Stem Borer - Carbaryl
Onion,Black,6.9,15,620,NPK Fertilizer,Scab - Captan
Turmeric,Sandy Loam,6.1,27,2406,DAP,Bud Rot - Copper Oxychloride
Rice,Alluvial,5.7,26,2471,Organic Compost,Late Blight - Mancozeb
Eucalyptus,Red,7,29,1587,Potassium Nitrate,Powdery Mildew - Sulfur
Jute,Sandy Loam,5.7,35,2259,NPK Fertilizer,Aphids - Imidacloprid
Mustard,Alluvial,6.2,25,624,Potash Fertilizer,Stem Borer - Carbaryl
Guava,Loamy,6.8,28,657,Calcium Ammonium Nitrate,Rust - Mancozeb
Spinach,Clayey,7,15,1910,Phosphate Fertilizer,Coffee Rust - Propiconazole
Watermelon,Black,6.5,18,887,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Basil,Alluvial,6.5,15,1244,DAP,Bud Rot - Copper Oxychloride
Apple,Loamy,7.2,34,1941,DAP,Coffee Rust - Propiconazole
Jackfruit,Loamy,7.2,11,1683,Calcium Ammonium Nitrate,Thrips - Spinosad
Coconut,Clayey Loam,6.9,15,1195,Sulfur Fertilizer,Red Rot - Carbendazim
Neem,Laterite,6.1,20,597,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Cashew,Clayey,6.7,19,1762,Farmyard Manure,Mealybug - Buprofezin
Cotton,Alluvial,6.3,23,692,DAP,Rust - Mancozeb
Strawberry,Black,6.2,18,858,Urea,Rust - Mancozeb
Brinjal,Clayey Loam,7.3,32,1915,Organic Compost,Blast - Tricyclazole
Sunflower,Laterite,7.2,13,1956,Phosphate Fertilizer,Aphids - Imidacloprid
Maize,Clayey Loam,5.8,19,1875,Potassium Nitrate,Red Rot - Carbendazim
Onion,Clayey Loam,5.8,34,2163,Organic Compost,Coffee Rust - Propiconazole
Banana,Sandy,7,19,2345,Sulfur Fertilizer,Mealybug - Buprofezin
Mustard,Alluvial,6.3,32,2111,Phosphate Fertilizer,Blast - Tricyclazole
Pomegranate,Red,6,31,1060,Potash Fertilizer,Aphids - Imidacloprid
Pumpkin,Clayey,5.5,11,2466,Sulfur Fertilizer,Aphids - Imidacloprid
Onion,Mountain,6.4,24,913,Organic Compost,Thrips - Spinosad
Tea,Laterite,6.4,17,2488,Organic Compost,Red Rot - Carbendazim
Papaya,Red,6.9,11,1657,Potassium Nitrate,Powdery Mildew - Sulfur
Soybean,Alluvial,6.3,22,1260,Potash Fertilizer,Thrips - Spinosad
Peach,Mountain,6.7,23,1057,Urea,Bud Rot - Copper Oxychloride
Papaya,Loamy,6.4,10,2206,NPK Fertilizer,Blast - Tricyclazole
Tomato,Black,7.1,30,733,Organic Compost,Stem Borer - Carbaryl
Sugarcane,Sandy Loam,7.1,14,567,Organic Compost,Rust - Mancozeb
Chili,Sandy Loam,6.9,12,1003,Potassium Nitrate,Rust - Mancozeb
Spinach,Clayey,6.2,12,1916,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Aloe Vera,Alluvial,7.2,25,803,NPK Fertilizer,Scab - Captan
Cashew,Sandy Loam,6.6,22,1316,DAP,Leaf Curl - Imidacloprid
Ginger,Mountain,6.3,31,605,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Radish,Clayey,6.9,13,2129,Farmyard Manure,Rust - Mancozeb
Neem,Alluvial,6.5,22,2391,Farmyard Manure,Stem Borer - Carbaryl
Pear,Laterite,7.1,22,1502,Phosphate Fertilizer,Scab - Captan
Sugarcane,Sandy,6.9,16,1481,Sulfur Fertilizer,Anthracnose - Carbendazim
Watermelon,Sandy Loam,7.4,30,1747,Potash Fertilizer,Stem Borer - Carbaryl
Wheat,Black,5.7,19,330,Organic Compost,Bud Rot - Copper Oxychloride
Carrot,Black,5.7,13,665,Potassium Nitrate,Aphids - Imidacloprid
Soybean,Black,5.7,30,1230,NPK Fertilizer,Mealybug - Buprofezin
Coffee,Mountain,7.4,10,1405,Farmyard Manure,Panama Wilt - Thiophanate
Pumpkin,Sandy,7,11,494,Sulfur Fertilizer,Blast - Tricyclazole
Sugarcane,Black,6.1,16,925,DAP,Scab - Captan
Rice,Red,5.8,30,1739,Potassium Nitrate,Aphids - Imidacloprid
Mahogany,Black,6.8,27,1758,Organic Compost,Rust - Propiconazole
Turmeric,Red,5.6,20,1772,Potash Fertilizer,Mealybug - Buprofezin
Groundnut,Loamy,7,13,593,Calcium Ammonium Nitrate,Scab - Captan
Jackfruit,Loamy,7,30,910,Phosphate Fertilizer,Late Blight - Mancozeb
Pear,Black,7,17,1625,DAP,Blister Blight - Copper Oxychloride
Apple,Red,5.8,16,1865,Phosphate Fertilizer,Stem Borer - Carbaryl
Sunflower,Sandy,6.5,18,1591,Urea,Stem Borer - Carbaryl
Coffee,Black,7.3,26,1785,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Spinach,Sandy,5.8,18,319,Urea,Rust - Propiconazole
Mahogany,Mountain,7.5,12,1783,Potash Fertilizer,Powdery Mildew - Sulfur
Maize,Black,5.7,12,1168,Potash Fertilizer,Thrips - Spinosad
Brinjal,Sandy Loam,7.4,12,497,Organic Compost,Blister Blight - Copper Oxychloride
Cauliflower,Loamy,6.8,33,655,Potash Fertilizer,Red Rot - Carbendazim
Okra,Sandy,6.5,10,1473,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Rice,Loamy,6.4,18,1001,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Mango,Clayey Loam,6.9,11,712,Potassium Nitrate,Blast - Tricyclazole
Ginger,Mountain,5.7,11,502,Urea,Anthracnose - Carbendazim
Cashew,Loamy,5.6,25,358,DAP,Aphids - Imidacloprid
Cotton,Mountain,6.7,33,2141,Urea,Leaf Spot - Chlorothalonil
Eucalyptus,Clayey Loam,7.3,22,855,Farmyard Manure,Rust - Mancozeb
Sugarcane,Clayey Loam,5.5,28,1643,NPK Fertilizer,Scab - Captan
Radish,Alluvial,6.5,30,362,NPK Fertilizer,Thrips - Spinosad
Pineapple,Mountain,6.7,16,754,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Strawberry,Alluvial,6.3,35,2261,NPK Fertilizer,Thrips - Spinosad
Peas,Alluvial,6.7,12,1595,Farmyard Manure,Rust - Mancozeb
Soybean,Clayey Loam,6.8,32,1129,Farmyard Manure,Stem Borer - Carbaryl
Blueberry,Red,7,17,1053,Phosphate Fertilizer,Bollworm - Cypermethrin
Carrot,Red,6.4,18,1168,Organic Compost,Bud Rot - Copper Oxychloride
Cauliflower,Sandy,7,16,1107,Calcium Ammonium Nitrate,Thrips - Spinosad
Peach,Laterite,7.4,29,2276,Potash Fertilizer,Scab - Captan
Mango,Loamy,5.5,25,1273,NPK Fertilizer,Late Blight - Mancozeb
Cashew,Red,5.6,11,1831,Urea,Mealybug - Buprofezin
Maize,Mountain,5.8,27,1271,Sulfur Fertilizer,Aphids - Imidacloprid
Guava,Mountain,6.9,21,1922,Potash Fertilizer,Aphids - Imidacloprid
Guava,Clayey,7.4,25,1608,DAP,Rust - Mancozeb
Onion,Loamy,7.2,12,1992,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Bamboo,Red,7.3,35,2245,DAP,Powdery Mildew - Sulfur
Papaya,Black,5.5,10,831,Phosphate Fertilizer,Powdery Mildew - Sulfur
Mango,Sandy Loam,6.3,16,1141,Urea,Blast - Tricyclazole
Mustard,Sandy Loam,6.9,16,1225,Potash Fertilizer,Panama Wilt - Thiophanate
Maize,Sandy,6.7,24,2420,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Okra,Red,7.4,13,749,Phosphate Fertilizer,Red Rot - Carbendazim
Chili,Loamy,6.4,19,468,NPK Fertilizer,Late Blight - Mancozeb
Potato,Alluvial,6.4,18,440,Potash Fertilizer,Aphids - Imidacloprid
Jackfruit,Mountain,5.5,13,1598,DAP,Red Rot - Carbendazim
Wheat,Clayey Loam,5.8,17,1981,Organic Compost,Blister Blight - Copper Oxychloride
Cashew,Mountain,7.3,33,2347,NPK Fertilizer,Anthracnose - Carbendazim
Mahogany,Alluvial,7.3,10,1775,Calcium Ammonium Nitrate,Thrips - Spinosad
Pineapple,Mountain,7.1,16,1262,Organic Compost,Late Blight - Mancozeb
Sugarcane,Laterite,7.2,13,2472,Potassium Nitrate,Blister Blight - Copper Oxychloride
Strawberry,Loamy,6,27,580,Potassium Nitrate,Aphids - Imidacloprid
Cabbage,Loamy,5.8,14,479,Potassium Nitrate,Thrips - Spinosad
Banana,Mountain,5.8,15,1313,Urea,Blast - Tricyclazole
Guava,Clayey,6,33,1754,Phosphate Fertilizer,Stem Borer - Carbaryl
Wheat,Loamy,6.6,19,987,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Strawberry,Mountain,7.3,16,1157,Calcium Ammonium Nitrate,Rust - Propiconazole
Jute,Clayey,7.1,34,1704,Calcium Ammonium Nitrate,Blast - Tricyclazole
Wheat,Laterite,7.2,22,2444,Potassium Nitrate,Rust - Mancozeb
Mango,Clayey Loam,6.1,25,2012,Potash Fertilizer,Bollworm - Cypermethrin
Onion,Red,5.9,24,1352,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Green Gram,Clayey,6,23,908,DAP,Scab - Captan
Eucalyptus,Clayey,6.4,10,366,Urea,Rust - Mancozeb
Pear,Sandy,6.1,27,1240,Potash Fertilizer,Powdery Mildew - Sulfur
Peach,Sandy,7,14,738,Potash Fertilizer,Late Blight - Mancozeb
Bamboo,Mountain,6.1,29,2252,Potassium Nitrate,Rust - Mancozeb
Radish,Mountain,6.9,16,1371,Farmyard Manure,Leaf Curl - Imidacloprid
Turmeric,Sandy,7.3,11,473,Phosphate Fertilizer,Anthracnose - Carbendazim
Maize,Black,7.3,24,1337,DAP,Thrips - Spinosad
Carrot,Mountain,5.5,12,2196,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Aloe Vera,Red,7.1,11,587,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Carrot,Mountain,5.8,10,1168,Sulfur Fertilizer,Late Blight - Mancozeb
Pear,Loamy,7.1,29,971,Potassium Nitrate,Rust - Mancozeb
Cauliflower,Alluvial,6.4,26,1006,DAP,Bollworm - Cypermethrin
Maize,Sandy,6.1,13,1517,NPK Fertilizer,Blast - Tricyclazole
Groundnut,Laterite,6.7,29,2120,NPK Fertilizer,Powdery Mildew - Sulfur
Rice,Mountain,5.7,23,1473,NPK Fertilizer,Panama Wilt - Thiophanate
Sunflower,Red,7,22,2034,NPK Fertilizer,Bollworm - Cypermethrin
Sugarcane,Sandy,7.4,22,1007,Urea,Late Blight - Mancozeb
Aloe Vera,Loamy,6.8,28,1146,Phosphate Fertilizer,Rust - Propiconazole
Brinjal,Clayey Loam,5.9,21,2472,Farmyard Manure,Aphids - Imidacloprid
Jackfruit,Sandy,6.5,25,2296,NPK Fertilizer,Mealybug - Buprofezin
Papaya,Alluvial,6.8,28,784,Urea,Coffee Rust - Propiconazole
Turmeric,Alluvial,6.1,29,1241,Phosphate Fertilizer,Panama Wilt - Thiophanate
Black Gram,Loamy,6.2,17,2435,Farmyard Manure,Blast - Tricyclazole
Pumpkin,Sandy Loam,6.9,28,1064,Organic Compost,Bollworm - Cypermethrin
Cabbage,Loamy,6.5,19,503,Farmyard Manure,Stem Borer - Carbaryl
Potato,Loamy,6.2,12,2195,Organic Compost,Thrips - Spinosad
Cashew,Sandy Loam,7,30,1073,NPK Fertilizer,Powdery Mildew - Sulfur
Basil,Clayey Loam,6.5,31,1003,Farmyard Manure,Aphids - Imidacloprid
Pineapple,Mountain,7.1,29,1288,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Jackfruit,Sandy Loam,6.4,17,390,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Cashew,Clayey,6.3,11,998,NPK Fertilizer,Bud Rot - Copper Oxychloride
Tea,Red,6.8,11,2003,DAP,Thrips - Spinosad
Peas,Mountain,7.2,12,1429,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Bamboo,Sandy,5.9,14,1623,NPK Fertilizer,Blast - Tricyclazole
Tomato,Red,5.9,23,1095,Organic Compost,Late Blight - Mancozeb
Strawberry,Mountain,7.4,14,2012,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Mustard,Red,6.8,30,1793,Urea,Coffee Rust - Propiconazole
Apple,Mountain,7.5,20,1883,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Chili,Laterite,5.7,24,1451,NPK Fertilizer,Scab - Captan
Spinach,Laterite,6.9,10,2075,Organic Compost,Thrips - Spinosad
Pear,Black,6.5,22,1389,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Aloe Vera,Clayey Loam,7,32,479,Urea,Leaf Curl - Imidacloprid
Mustard,Sandy Loam,7.2,30,656,DAP,Aphids - Imidacloprid
Radish,Clayey Loam,6.3,32,981,Organic Compost,Blast - Tricyclazole
Mahogany,Loamy,7.3,10,2182,Potassium Nitrate,Aphids - Imidacloprid
Eucalyptus,Clayey Loam,6,12,1561,DAP,Bollworm - Cypermethrin
Guava,Mountain,7.3,35,1769,Phosphate Fertilizer,Rust - Propiconazole
