Plant Name,Soil Type,Soil pH,Temperature,Rainfall,Required Fertilizer,Common Pests & Recommended Pesticides
Groundnut,Red,7.2,22,627,Potassium Nitrate,Blast - Tricyclazole
Tomato,Clayey,6.2,20,2325,Potassium Nitrate,Stem Borer - Carbaryl
Mahogany,Clayey Loam,6.2,21,1157,Potash Fertilizer,Late Blight - Mancozeb
Mustard,Laterite,7.3,30,1431,Organic Compost,Coffee Rust - Propiconazole
Eucalyptus,Loamy,7,32,1678,Farmyard Manure,Thrips - Spinosad
Mahogany,Sandy,7.2,20,1567,Potash Fertilizer,Powdery Mildew - Sulfur
Eucalyptus,Loamy,6.5,27,2330,Calcium Ammonium Nitrate,Blast - Tricyclazole
Carrot,Clayey Loam,6.6,13,692,Urea,Blast - Tricyclazole
Peas,Clayey Loam,6.3,17,1603,DAP,Late Blight - Mancozeb
Potato,Sandy,6.1,35,715,Farmyard Manure,Blister Blight - Copper Oxychloride
Pomegranate,Loamy,6.1,12,1446,Potash Fertilizer,Anthracnose - Carbendazim
Okra,Laterite,6.1,35,1044,Phosphate Fertilizer,Rust - Mancozeb
Spinach,Sandy Loam,7.1,27,1169,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Banana,Alluvial,6.3,24,2404,Organic Compost,Aphids - Imidacloprid
Coffee,Loamy,5.6,15,2040,NPK Fertilizer,Leaf Spot - Chlorothalonil
Papaya,Laterite,6.3,19,1500,Sulfur Fertilizer,Bollworm - Cypermethrin
Green Gram,Loamy,5.6,21,965,DAP,Anthracnose - Carbendazim
Pineapple,Mountain,6.1,22,2420,Sulfur Fertilizer,Aphids - Imidacloprid
Pear,Sandy Loam,7.4,35,891,Potash Fertilizer,Blast - Tricyclazole
Mahogany,Clayey Loam,7,27,1945,DAP,Aphids - Imidacloprid
Papaya,Laterite,7.5,21,1874,Potash Fertilizer,Mealybug - Buprofezin
Blueberry,Red,5.9,12,1961,Sulfur Fertilizer,Scab - Captan
Pear,Sandy,6.3,19,1493,Organic Compost,Aphids - Imidacloprid
Ginger,Laterite,5.5,33,626,DAP,Bollworm - Cypermethrin
Sugarcane,Sandy,7.2,30,384,Calcium Ammonium Nitrate,Rust - Mancozeb
Mahogany,Sandy,6.2,35,2447,Urea,Red Rot - Carbendazim
Soybean,Black,5.8,34,828,Phosphate Fertilizer,Blast - Tricyclazole
Tea,Sandy Loam,7,13,551,Organic Compost,Coffee Rust - Propiconazole
Lentils,Clayey Loam,6.8,32,435,Urea,Stem Borer - Carbaryl
Groundnut,Sandy,6.2,13,405,Urea,Thrips - Spinosad
Papaya,Sandy,6.8,34,322,Potassium Nitrate,Rust - Propiconazole
Basil,Alluvial,6.6,22,2125,DAP,Leaf Curl - Imidacloprid
Onion,Sandy,7.5,22,1115,DAP,Bud Rot - Copper Oxychloride
Blueberry,Loamy,6.6,23,782,DAP,Leaf Spot - Chlorothalonil
Coconut,Mountain,7,22,1857,Potash Fertilizer,Rust - Mancozeb
Pomegranate,Clayey,7.3,14,1334,NPK Fertilizer,Anthracnose - Carbendazim
Rice,Sandy,7,24,1331,DAP,Aphids - Imidacloprid
Spinach,Sandy,7.3,32,2411,Organic Compost,Stem Borer - Carbaryl
Cotton,Red,6.5,28,303,Sulfur Fertilizer,Blast - Tricyclazole
Sunflower,Black,6.7,21,423,Phosphate Fertilizer,Anthracnose - Carbendazim
Blueberry,Laterite,6.8,22,467,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Brinjal,Black,6.8,20,1034,Potash Fertilizer,Leaf Spot - Chlorothalonil
Banana,Clayey Loam,7.2,12,1912,NPK Fertilizer,Stem Borer - Carbaryl
Blueberry,Red,6.5,18,1611,Urea,Rust - Mancozeb
Cashew,Loamy,7.3,26,2248,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Peach,Clayey,6.1,28,2080,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Coconut,Clayey Loam,7.3,32,1698,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Sunflower,Clayey,7.1,22,610,Urea,Aphids - Imidacloprid
Pineapple,Loamy,7.4,11,439,Farmyard Manure,Anthracnose - Carbendazim
Jute,Loamy,7,26,1399,Calcium Ammonium Nitrate,Scab - Captan
Pineapple,Black,6,16,570,Farmyard Manure,Stem Borer - Carbaryl
Groundnut,Red,7.3,28,1588,Potassium Nitrate,Late Blight - Mancozeb
Coffee,Clayey Loam,5.8,15,2223,NPK Fertilizer,Blast - Tricyclazole
Okra,Sandy Loam,6.2,33,730,Organic Compost,Aphids - Imidacloprid
Cauliflower,Sandy Loam,6.7,33,1638,Potash Fertilizer,Late Blight - Mancozeb
Onion,Alluvial,6.8,35,1605,DAP,Panama Wilt - Thiophanate
Pineapple,Loamy,6.8,34,690,Potassium Nitrate,Blister Blight - Copper Oxychloride
Carrot,Clayey Loam,5.7,34,2173,Calcium Ammonium Nitrate,Scab - Captan
Radish,Sandy,7.4,15,2352,Urea,Blast - Tricyclazole
Potato,Red,6.2,24,748,Sulfur Fertilizer,Powdery Mildew - Sulfur
Mustard,Alluvial,6.9,15,1171,Phosphate Fertilizer,Late Blight - Mancozeb
Pumpkin,Black,6.3,28,2202,Urea,Leaf Spot - Chlorothalonil
Okra,Red,7.4,33,1207,Farmyard Manure,Blister Blight - Copper Oxychloride
Turmeric,Laterite,7.2,18,1203,Phosphate Fertilizer,Aphids - Imidacloprid
Soybean,Loamy,6.8,11,945,Potash Fertilizer,Late Blight - Mancozeb
Cabbage,Loamy,6.6,14,1447,Potassium Nitrate,Red Rot - Carbendazim
Peach,Sandy,5.9,15,781,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Soybean,Clayey,6.7,29,2093,Farmyard Manure,Powdery Mildew - Sulfur
Aloe Vera,Loamy,7.2,18,785,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Peas,Black,6.7,19,540,NPK Fertilizer,Rust - Mancozeb
Groundnut,Alluvial,6,15,998,Phosphate Fertilizer,Rust - Mancozeb
Papaya,Clayey Loam,5.6,31,800,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Green Gram,Black,5.8,16,688,Potassium Nitrate,Leaf Curl - Imidacloprid
Rice,Loamy,6.3,32,2499,Phosphate Fertilizer,Anthracnose - Carbendazim
Pineapple,Red,6,31,1223,Farmyard Manure,Rust - Mancozeb
Pineapple,Laterite,7.3,27,461,DAP,Bollworm - Cypermethrin
Sugarcane,Red,6,15,546,DAP,Powdery Mildew - Sulfur
Soybean,Sandy Loam,5.5,21,2369,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Black Gram,Alluvial,6.6,30,909,Potassium Nitrate,Scab - Captan
Soybean,Red,6,35,1660,Farmyard Manure,Anthracnose - Carbendazim
Cashew,Sandy,5.8,17,2415,Sulfur Fertilizer,Rust - Mancozeb
Chili,Alluvial,7,13,1920,DAP,Bud Rot - Copper Oxychloride
Strawberry,Sandy Loam,6,20,2021,Potassium Nitrate,Leaf Spot - Chlorothalonil
Pineapple,Red,6.5,11,1474,Farmyard Manure,Aphids - Imidacloprid
Blueberry,Clayey,6.2,33,1746,Urea,Mealybug - Buprofezin
Cotton,Alluvial,5.6,21,393,Farmyard Manure,Powdery Mildew - Sulfur
Maize,Red,6.8,18,1509,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Guava,Black,6,19,1112,Organic Compost,Thrips - Spinosad
Pumpkin,Clayey,6.4,12,1155,Potash Fertilizer,Powdery Mildew - Sulfur
Tomato,Red,7.1,12,1553,Sulfur Fertilizer,Scab - Captan
Mustard,Laterite,5.6,23,1937,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Spinach,Sandy,6,21,1275,Potassium Nitrate,Late Blight - Mancozeb
Tea,Clayey Loam,7.3,18,1742,Urea,Mealybug - Buprofezin
Bamboo,Mountain,6.2,18,1017,Organic Compost,Leaf Spot - Chlorothalonil
Tomato,Sandy,7.1,23,834,Organic Compost,Thrips - Spinosad
Ginger,Loamy,6.7,20,404,Sulfur Fertilizer,Stem Borer - Carbaryl
Watermelon,Black,6.8,26,776,Potash Fertilizer,Leaf Spot - Chlorothalonil
Onion,Laterite,7.4,14,2177,Potash Fertilizer,Anthracnose - Carbendazim
Mahogany,Clayey Loam,6.3,18,2355,Potassium Nitrate,Leaf Curl - Imidacloprid
Cauliflower,Laterite,6.4,30,864,Potash Fertilizer,Late Blight - Mancozeb
Carrot,Clayey,7.4,12,777,Potash Fertilizer,Bud Rot - Copper Oxychloride
Watermelon,Alluvial,5.9,34,2163,NPK Fertilizer,Panama Wilt - Thiophanate
Coffee,Sandy,7.3,18,430,Phosphate Fertilizer,Thrips - Spinosad
Neem,Red,7.1,11,1495,Potassium Nitrate,Bud Rot - Copper Oxychloride
Papaya,Clayey Loam,6.5,35,821,Urea,Blast - Tricyclazole
Chili,Loamy,7.1,24,2331,Organic Compost,Rust - Propiconazole
Cabbage,Clayey,6.5,27,2326,DAP,Rust - Mancozeb
Tomato,Mountain,6.1,17,1687,Calcium Ammonium Nitrate,Rust - Propiconazole
Cashew,Laterite,6.3,23,1481,Potash Fertilizer,Coffee Rust - Propiconazole
Black Gram,Mountain,6.2,27,706,DAP,Coffee Rust - Propiconazole
Carrot,Sandy,6.4,22,2372,DAP,Rust - Mancozeb
Bamboo,Clayey Loam,6.2,17,2236,NPK Fertilizer,Late Blight - Mancozeb
Maize,Sandy Loam,6.7,30,981,Urea,Blast - Tricyclazole
Jute,Red,6.8,30,1221,DAP,Coffee Rust - Propiconazole
Blueberry,Alluvial,5.6,15,1038,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Radish,Loamy,5.9,13,1634,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Lentils,Mountain,7.4,25,948,NPK Fertilizer,Leaf Spot - Chlorothalonil
Radish,Sandy Loam,6.6,18,1138,Organic Compost,Rust - Propiconazole
Mahogany,Mountain,6.6,17,1226,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Pomegranate,Sandy,6.6,23,1645,Organic Compost,Rust - Propiconazole
Bamboo,Clayey,5.7,28,2315,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Bamboo,Clayey,6.9,34,446,DAP,Mealybug - Buprofezin
Jute,Laterite,6.1,20,1032,DAP,Powdery Mildew - Sulfur
Blueberry,Mountain,7.3,24,652,Urea,Stem Borer - Carbaryl
Radish,Laterite,6.7,21,1926,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Pumpkin,Clayey,7.2,20,1381,Organic Compost,Mealybug - Buprofezin
Basil,Black,5.9,17,324,DAP,Rust - Propiconazole
Watermelon,Sandy,6.3,29,1285,Farmyard Manure,Aphids - Imidacloprid
Soybean,Red,5.6,14,935,Farmyard Manure,Bud Rot - Copper Oxychloride
Blueberry,Loamy,6.2,16,1637,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Black Gram,Clayey Loam,6.3,14,2012,Calcium Ammonium Nitrate,Rust - Propiconazole
Banana,Loamy,6.4,26,1709,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Maize,Red,5.6,33,781,DAP,Aphids - Imidacloprid
Cauliflower,Mountain,7.3,31,519,Farmyard Manure,Bud Rot - Copper Oxychloride
Eucalyptus,Sandy Loam,6,23,2123,Organic Compost,Bollworm - Cypermethrin
Mango,Sandy,5.5,29,1864,Sulfur Fertilizer,Aphids - Imidacloprid
Cabbage,Black,7.4,10,2423,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Watermelon,Black,5.5,22,1110,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Potato,Laterite,7.1,22,1100,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Cotton,Clayey Loam,6.1,22,2000,Farmyard Manure,Bollworm - Cypermethrin
Mustard,Laterite,7.2,16,1667,Farmyard Manure,Panama Wilt - Thiophanate
Bamboo,Black,5.9,28,1373,Sulfur Fertilizer,Scab - Captan
Cauliflower,Clayey,6,31,1934,Sulfur Fertilizer,Red Rot - Carbendazim
Watermelon,Loamy,6.2,28,1078,Farmyard Manure,Anthracnose - Carbendazim
Coconut,Alluvial,6.4,20,1563,Sulfur Fertilizer,Red Rot - Carbendazim
Jackfruit,Red,6.1,25,349,Organic Compost,Stem Borer - Carbaryl
Soybean,Sandy,5.5,16,1800,Calcium Ammonium Nitrate,Blast - Tricyclazole
Jackfruit,Loamy,7.4,10,1227,DAP,Leaf Curl - Imidacloprid
Coconut,Clayey,5.8,18,482,Farmyard Manure,Late Blight - Mancozeb
Ginger,Red,6.7,17,1456,Farmyard Manure,Panama Wilt - Thiophanate
Wheat,Mountain,6,19,1819,Phosphate Fertilizer,Blast - Tricyclazole
Tomato,Sandy,6.1,15,2473,DAP,Bollworm - Cypermethrin
Green Gram,Black,6.8,30,1485,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Watermelon,Loamy,7.2,12,1523,Farmyard Manure,Scab - Captan
Coconut,Clayey,7.3,34,1890,Farmyard Manure,Anthracnose - Carbendazim
Peas,Sandy,5.9,26,1949,Potash Fertilizer,Stem Borer - Carbaryl
Eucalyptus,Mountain,6.7,10,2344,DAP,Leaf Spot - Chlorothalonil
Cabbage,Clayey Loam,7,13,1138,Potassium Nitrate,Rust - Mancozeb
Wheat,Red,6.5,21,1850,DAP,Panama Wilt - Thiophanate
Cashew,Loamy,6.6,30,2218,Farmyard Manure,Scab - Captan
Pumpkin,Clayey Loam,7.1,25,1861,Organic Compost,Bollworm - Cypermethrin
Peas,Loamy,5.7,29,961,Sulfur Fertilizer,Stem Borer - Carbaryl
Basil,Black,5.7,13,2233,Farmyard Manure,Mealybug - Buprofezin
Banana,Loamy,7.1,20,300,NPK Fertilizer,Rust - Mancozeb
Green Gram,Black,6.1,24,838,Farmyard Manure,Leaf Spot - Chlorothalonil
Strawberry,Mountain,6.2,14,1173,Potassium Nitrate,Rust - Propiconazole
Tomato,Sandy Loam,6.4,26,2451,Sulfur Fertilizer,Powdery Mildew - Sulfur
Wheat,Clayey Loam,6.4,28,1831,Phosphate Fertilizer,Blast - Tricyclazole
Apple,Loamy,7.2,20,1460,DAP,Rust - Mancozeb
Strawberry,Loamy,7.3,22,526,Urea,Bud Rot - Copper Oxychloride
Mahogany,Clayey Loam,6.4,30,2277,Organic Compost,Bollworm - Cypermethrin
Apple,Clayey,5.9,33,2025,DAP,Powdery Mildew - Sulfur
Watermelon,Sandy,5.9,19,705,Farmyard Manure,Panama Wilt - Thiophanate
Banana,Clayey Loam,5.6,34,1544,Urea,Mealybug - Buprofezin
Strawberry,Sandy Loam,6.3,20,2480,Organic Compost,Rust - Propiconazole
Watermelon,Clayey,6.9,23,597,NPK Fertilizer,Thrips - Spinosad
Guava,Mountain,6.9,16,1846,Urea,Blister Blight - Copper Oxychloride
Cabbage,Black,7.4,33,864,Phosphate Fertilizer,Anthracnose - Carbendazim
Pineapple,Clayey Loam,7.2,22,799,Sulfur Fertilizer,Panama Wilt - Thiophanate
Onion,Sandy,7.2,17,887,Potassium Nitrate,Anthracnose - Carbendazim
Coffee,Laterite,7.3,16,1591,NPK Fertilizer,Powdery Mildew - Sulfur
Apple,Sandy,7,18,471,Urea,Red Rot - Carbendazim
Coffee,Sandy Loam,5.8,16,2290,Potassium Nitrate,Stem Borer - Carbaryl
Coffee,Clayey Loam,5.7,14,2475,Organic Compost,Anthracnose - Carbendazim
Black Gram,Sandy Loam,5.9,17,2171,DAP,Panama Wilt - Thiophanate
Pineapple,Clayey Loam,6.1,10,2253,DAP,Panama Wilt - Thiophanate
Soybean,Red,6.1,20,960,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Jackfruit,Black,6.8,30,1425,Farmyard Manure,Aphids - Imidacloprid
Pumpkin,Alluvial,6.4,10,1827,NPK Fertilizer,Bud Rot - Copper Oxychloride
Papaya,Sandy Loam,7,31,484,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Groundnut,Red,6,30,906,Farmyard Manure,Blast - Tricyclazole
Groundnut,Loamy,6,31,1978,Urea,Scab - Captan
Watermelon,Clayey,7.1,19,1790,Urea,Panama Wilt - Thiophanate
Cotton,Loamy,7.3,19,388,Organic Compost,Late Blight - Mancozeb
Onion,Alluvial,5.8,19,2403,NPK Fertilizer,Thrips - Spinosad
Carrot,Clayey,5.6,29,613,NPK Fertilizer,Rust - Mancozeb
Papaya,Sandy,6.6,33,1510,DAP,Coffee Rust - Propiconazole
Basil,Clayey,5.9,16,2124,NPK Fertilizer,Thrips - Spinosad
Sunflower,Mountain,6.3,10,1708,Farmyard Manure,Bollworm - Cypermethrin
Pumpkin,Sandy,6.2,16,913,Sulfur Fertilizer,Anthracnose - Carbendazim
Rice,Alluvial,5.8,27,1952,Farmyard Manure,Bud Rot - Copper Oxychloride
Coconut,Clayey,6.7,32,2476,DAP,Aphids - Imidacloprid
Brinjal,Mountain,6.2,14,1335,NPK Fertilizer,Scab - Captan
Cabbage,Alluvial,7.4,23,1011,Potassium Nitrate,Stem Borer - Carbaryl
Banana,Mountain,7.4,29,2353,Farmyard Manure,Rust - Propiconazole
Jute,Black,7,34,988,Phosphate Fertilizer,Mealybug - Buprofezin
Mustard,Black,7.2,15,1260,Calcium Ammonium Nitrate,Rust - Propiconazole
Wheat,Red,7.4,19,1665,Calcium Ammonium Nitrate,Rust - Mancozeb
Ginger,Loamy,5.6,13,1446,Organic Compost,Late Blight - Mancozeb
Peach,Alluvial,7,15,1303,Urea,Red Rot - Carbendazim
Jute,Clayey Loam,5.8,21,538,Phosphate Fertilizer,Coffee Rust - Propiconazole
Guava,Mountain,7.1,19,1095,Farmyard Manure,Thrips - Spinosad
Radish,Mountain,6.9,12,2140,Potash Fertilizer,Rust - Propiconazole
Bamboo,Black,6.5,10,488,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Blueberry,Sandy Loam,5.8,10,766,Organic Compost,Rust - Propiconazole
Mango,Red,7.1,33,419,Organic Compost,Blister Blight - Copper Oxychloride
Cashew,Clayey,5.6,10,1007,Calcium Ammonium Nitrate,Rust - Propiconazole
Cotton,Red,7.4,10,330,DAP,Bollworm - Cypermethrin
Basil,Clayey Loam,7,15,571,Sulfur Fertilizer,Rust - Propiconazole
Jackfruit,Sandy,5.6,11,942,NPK Fertilizer,Stem Borer - Carbaryl
Blueberry,Loamy,7.2,30,387,Potash Fertilizer,Leaf Spot - Chlorothalonil
Banana,Laterite,7.1,14,529,Organic Compost,Rust - Propiconazole
Guava,Sandy,6.9,15,1299,Sulfur Fertilizer,Scab - Captan
Rice,Clayey Loam,6.8,16,1917,Urea,Mealybug - Buprofezin
Brinjal,Loamy,6.3,16,1947,Urea,Anthracnose - Carbendazim
Wheat,Black,6.2,16,1069,NPK Fertilizer,Thrips - Spinosad
Pineapple,Loamy,5.5,22,2264,Phosphate Fertilizer,Red Rot - Carbendazim
Pomegranate,Mountain,6,29,1321,Potash Fertilizer,Blast - Tricyclazole
Maize,Sandy,7.3,13,2411,Potash Fertilizer,Scab - Captan
Guava,Loamy,6.4,24,2432,Organic Compost,Thrips - Spinosad
Turmeric,Clayey Loam,6.4,27,2010,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Soybean,Black,7.4,21,1048,Urea,Powdery Mildew - Sulfur
Ginger,Red,7.3,29,1441,Potash Fertilizer,Thrips - Spinosad
Cashew,Red,5.6,29,1602,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Spinach,Clayey,6,25,2412,Potassium Nitrate,Mealybug - Buprofezin
Peas,Sandy,6.8,35,661,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Eucalyptus,Sandy Loam,5.6,22,1104,Urea,Mealybug - Buprofezin
Brinjal,Sandy Loam,7.4,35,859,Organic Compost,Rust - Propiconazole
Tomato,Black,6.6,12,2208,Potash Fertilizer,Scab - Captan
Mango,Clayey Loam,5.9,19,637,Potash Fertilizer,Blister Blight - Copper Oxychloride
Papaya,Loamy,7.2,13,1773,Organic Compost,Blister Blight - Copper Oxychloride
Rice,Red,7.1,22,1120,Phosphate Fertilizer,Powdery Mildew - Sulfur
Green Gram,Clayey Loam,7.1,14,1570,NPK Fertilizer,Anthracnose - Carbendazim
Aloe Vera,Sandy Loam,5.8,12,835,Phosphate Fertilizer,Late Blight - Mancozeb
Jackfruit,Sandy Loam,6.2,11,378,NPK Fertilizer,Coffee Rust - Propiconazole
Jute,Black,6.2,19,1384,Urea,Powdery Mildew - Sulfur
Cabbage,Clayey,6.1,33,1160,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Pineapple,Alluvial,6.1,13,656,Calcium Ammonium Nitrate,Blast - Tricyclazole
Coffee,Loamy,6.4,14,2181,Sulfur Fertilizer,Late Blight - Mancozeb
Chili,Clayey,5.6,21,1847,Sulfur Fertilizer,Stem Borer - Carbaryl
Jute,Clayey Loam,5.8,10,2055,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Okra,Black,7.1,27,411,Calcium Ammonium Nitrate,Rust - Propiconazole
Turmeric,Mountain,6.4,31,713,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Eucalyptus,Mountain,7.4,22,1536,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Bamboo,Clayey Loam,7.3,33,723,Farmyard Manure,Red Rot - Carbendazim
Sugarcane,Sandy,6.4,23,499,NPK Fertilizer,Leaf Curl - Imidacloprid
Onion,Black,6.7,30,1578,NPK Fertilizer,Rust - Mancozeb
Potato,Clayey Loam,6.3,26,1806,Urea,Coffee Rust - Propiconazole
Blueberry,Alluvial,6.2,12,2109,Phosphate Fertilizer,Scab - Captan
Tea,Sandy Loam,6.5,20,2318,Potassium Nitrate,Mealybug - Buprofezin
Aloe Vera,Clayey Loam,7,16,1570,Calcium Ammonium Nitrate,Rust - Mancozeb
Guava,Clayey,5.7,10,1385,Phosphate Fertilizer,Late Blight - Mancozeb
Cashew,Laterite,7.1,23,987,Potash Fertilizer,Rust - Mancozeb
Groundnut,Black,7,34,1110,Potassium Nitrate,Coffee Rust - Propiconazole
Green Gram,Black,7.4,29,1619,DAP,Stem Borer - Carbaryl
Maize,Black,7.1,18,1039,DAP,Mealybug - Buprofezin
Apple,Alluvial,5.9,17,1062,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Bamboo,Sandy,7,16,1938,Urea,Panama Wilt - Thiophanate
Soybean,Laterite,7,11,1160,DAP,Rust - Mancozeb
Black Gram,Red,6.4,30,1733,Sulfur Fertilizer,Blast - Tricyclazole
Maize,Sandy Loam,5.9,34,2227,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Rice,Alluvial,5.6,26,971,Potassium Nitrate,Coffee Rust - Propiconazole
Coffee,Mountain,5.9,21,436,Urea,Panama Wilt - Thiophanate
Cotton,Laterite,7.3,20,2465,Potassium Nitrate,Leaf Curl - Imidacloprid
Bamboo,Red,6.6,23,2124,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Watermelon,Sandy Loam,6.6,19,1218,Potassium Nitrate,Panama Wilt - Thiophanate
Onion,Clayey,6,15,2066,Calcium Ammonium Nitrate,Thrips - Spinosad
Lentils,Alluvial,6.1,17,2495,Potash Fertilizer,Blast - Tricyclazole
Coffee,Sandy Loam,6.3,10,1592,Sulfur Fertilizer,Stem Borer - Carbaryl
Soybean,Sandy,7,33,726,Phosphate Fertilizer,Bollworm - Cypermethrin
Cauliflower,Black,6.7,34,2043,DAP,Aphids - Imidacloprid
Groundnut,Clayey,7.2,18,1917,Farmyard Manure,Rust - Propiconazole
Bamboo,Clayey Loam,6.8,30,920,Sulfur Fertilizer,Anthracnose - Carbendazim
Banana,Laterite,5.8,26,2266,DAP,Rust - Mancozeb
Cotton,Mountain,5.5,17,1899,Sulfur Fertilizer,Late Blight - Mancozeb
Rice,Sandy Loam,7.1,27,417,Urea,Powdery Mildew - Sulfur
Apple,Clayey,7.4,10,1314,Potash Fertilizer,Scab - Captan
Basil,Clayey Loam,6.9,35,1700,Potassium Nitrate,Blister Blight - Copper Oxychloride
Basil,Clayey,6.3,30,1570,Farmyard Manure,Mealybug - Buprofezin
Pomegranate,Sandy Loam,5.7,23,1039,DAP,Stem Borer - Carbaryl
Tea,Sandy,7.1,11,829,Farmyard Manure,Scab - Captan
Rice,Alluvial,7.2,10,661,Urea,Rust - Propiconazole
Okra,Mountain,6,34,2452,Organic Compost,Aphids - Imidacloprid
Eucalyptus,Alluvial,6.6,34,1864,Farmyard Manure,Leaf Spot - Chlorothalonil
Neem,Black,6.7,26,1075,DAP,Red Rot - Carbendazim
Groundnut,Clayey,6.8,23,379,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Jute,Loamy,5.6,31,789,Farmyard Manure,Red Rot - Carbendazim
Cabbage,Red,5.7,33,2380,Farmyard Manure,Bollworm - Cypermethrin
Pumpkin,Clayey,7.1,21,2270,Farmyard Manure,Anthracnose - Carbendazim
Brinjal,Mountain,7.2,10,1666,DAP,Leaf Spot - Chlorothalonil
Blueberry,Red,7.3,17,402,Calcium Ammonium Nitrate,Blast - Tricyclazole
Spinach,Sandy,6.1,13,855,NPK Fertilizer,Scab - Captan
Potato,Black,6.2,26,1255,Urea,Blast - Tricyclazole
Cauliflower,Black,5.7,34,1551,Organic Compost,Bud Rot - Copper Oxychloride
Turmeric,Clayey,6.8,21,1983,Potassium Nitrate,Mealybug - Buprofezin
Groundnut,Laterite,6.2,30,765,Urea,Aphids - Imidacloprid
Coffee,Red,6.6,26,1906,Phosphate Fertilizer,Panama Wilt - Thiophanate
Spinach,Mountain,6.9,33,1736,Sulfur Fertilizer,Panama Wilt - Thiophanate
Apple,Sandy,6.6,21,1924,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Cotton,Black,6.7,31,1808,Organic Compost,Leaf Curl - Imidacloprid
Tomato,Loamy,6.5,27,2388,Organic Compost,Thrips - Spinosad
Blueberry,Mountain,7.4,19,818,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Tea,Black,5.6,32,755,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Coconut,Red,5.7,19,1170,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Spinach,Black,6,10,2315,NPK Fertilizer,Aphids - Imidacloprid
Sunflower,Alluvial,7.5,23,818,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Watermelon,Red,6.9,17,2293,Sulfur Fertilizer,Rust - Propiconazole
Mustard,Red,7,15,1567,Potassium Nitrate,Aphids - Imidacloprid
Cashew,Mountain,6.6,32,705,Potassium Nitrate,Bollworm - Cypermethrin
Basil,Black,5.8,17,1550,DAP,Blister Blight - Copper Oxychloride
Groundnut,Loamy,6.1,19,1720,DAP,Scab - Captan
Aloe Vera,Clayey Loam,5.9,13,1314,Potash Fertilizer,Leaf Spot - Chlorothalonil
Cauliflower,Red,6.8,27,1009,Calcium Ammonium Nitrate,Rust - Propiconazole
Pomegranate,Clayey,5.9,28,1119,Potash Fertilizer,Stem Borer - Carbaryl
Black Gram,Sandy Loam,6.3,14,948,Farmyard Manure,Leaf Curl - Imidacloprid
Cabbage,Sandy Loam,6.2,15,530,DAP,Powdery Mildew - Sulfur
Jute,Black,7.1,18,1552,Sulfur Fertilizer,Stem Borer - Carbaryl
Watermelon,Clayey Loam,5.6,26,1707,Potassium Nitrate,Red Rot - Carbendazim
Coconut,Alluvial,6.3,24,870,Sulfur Fertilizer,Stem Borer - Carbaryl
Green Gram,Red,6.7,22,1528,Potash Fertilizer,Powdery Mildew - Sulfur
Green Gram,Alluvial,6.5,30,2019,Urea,Scab - Captan
Onion,Alluvial,6.3,25,2381,Urea,Anthracnose - Carbendazim
Neem,Clayey Loam,7.4,13,1873,Potassium Nitrate,Scab - Captan
Green Gram,Laterite,7,22,2299,Sulfur Fertilizer,Mealybug - Buprofezin
